tempo	B	tempo	Vs
(s)	(T)	(s)	(V)
			voltagem solenoide (bobina primária)
0	-1E-4	0	3.23E-4
1	-1E-4	1	3.4E-4
2	-4E-4	2	3.43E-4
3	0	3	2.85E-4
4	0.1713	4	0.049096
5	0.2888	5	0.099993
6	0.3786	6	0.1488
7	0.4583	7	0.199054
8	0.5291	8	0.248857
9	0.5953	9	0.299088
10	0.6559	10	0.349702
11	0.7109	11	0.398804
12	0.7631	12	0.449006
13	0.8112	13	0.499144
14	0.8554	14	0.549211
15	0.8962	15	0.598669
16	0.9331	16	0.648206
17	0.9688	17	0.698995
18	1.0008	18	0.749488
19	1.0302	19	0.798225
20	1.0583	20	0.849615
21	1.0863	21	0.899085
22	1.1096	22	0.948462
23	1.1315	23	0.999201
24	1.153	24	1.0496
25	1.1724	25	1.09908
26	1.1913	26	1.14841
27	1.2082	27	1.19816
28	1.2247	28	1.24907
29	1.2399	29	1.29959
30	1.254	30	1.34883
31	1.2676	31	1.39918
32	1.2807	32	1.4493
33	1.2929	33	1.4993
34	1.3043	34	1.54878
35	1.3155	35	1.59976
36	1.3258	36	1.64912
37	1.3364	37	1.69928
38	1.3459	38	1.7487
39	1.3552	39	1.79937
40	1.3637	40	1.84927
41	1.3719	41	1.89916
42	1.3797	42	1.94889
43	1.3867	43	2.00025
44	1.3949	44	2.04889
45	1.4015	45	2.09898
46	1.4078	46	2.14893
47	1.414	47	2.19887
48	1.4199	48	2.24908
49	1.4256	49	2.29918
50	1.4309	50	2.34902
51	1.4356	51	2.39924
52	1.4403	52	2.44882
53	1.4452	53	2.49865
54	1.4419	54	2.44841
55	1.438	55	2.39926
56	1.4336	56	2.3486
57	1.4291	57	2.29885
58	1.4247	58	2.24864
59	1.4203	59	2.19889
60	1.4154	60	2.14813
61	1.4103	61	2.099
62	1.4047	62	2.04879
63	1.3993	63	1.99968
64	1.3932	64	1.94837
65	1.3867	65	1.89872
66	1.3804	66	1.84877
67	1.3734	67	1.79892
68	1.3659	68	1.74831
69	1.3581	69	1.69863
70	1.3499	70	1.64863
71	1.3416	71	1.59938
72	1.332	72	1.54867
73	1.3222	73	1.49883
74	1.3123	74	1.44882
75	1.3015	75	1.39873
76	1.2898	76	1.34853
77	1.2779	77	1.29912
78	1.2652	78	1.24898
79	1.2511	79	1.19789
80	1.2365	80	1.14827
81	1.2211	81	1.09825
82	1.2048	82	1.04949
83	1.1863	83	0.998304
84	1.1669	84	0.948397
85	1.1464	85	0.898845
86	1.124	86	0.849154
87	1.0988	87	0.797935
88	1.0725	88	0.748596
89	1.0435	89	0.698897
90	1.011	90	0.647356
91	0.9769	91	0.598208
92	0.9388	92	0.548784
93	0.8968	93	0.498693
94	0.8507	94	0.448983
95	0.7993	95	0.398493
96	0.7444	96	0.349333
97	0.6793	97	0.298669
98	0.6126	98	0.248364
99	0.5418	99	0.198627
100	0.4626	100	0.148381
101	0.3755	101	0.099651
102	0.2682	102	0.048902
103	0.1243	103	0
104	0.1245	104	3.23E-4
