tempo-B (s)	B (T)	tempo-Vs (s)	Vs (V)
0	-5E-4	0	4.4E-4
1	-6E-4	1	4.21E-4
2	-7E-4	2	2.5E-4
3	-0.0011	3	2.69E-4
4	0.0113	4	0.04858
5	0.0248	5	0.099838
6	0.0386	6	0.148691
7	0.0531	7	0.198895
8	0.0681	8	0.24857
9	0.0838	9	0.298758
10	0.0996	10	0.349411
11	0.1155	11	0.398509
12	0.1312	12	0.448666
13	0.1472	13	0.498817
14	0.1634	14	0.548765
15	0.1794	15	0.598297
16	0.1947	16	0.647841
17	0.2108	17	0.698657
18	0.227	18	0.748735
19	0.2427	19	0.798276
20	0.259	20	0.848882
21	0.2749	21	0.899105
22	0.2905	22	0.948198
23	0.3063	23	0.998863
24	0.3221	24	1.0494
25	0.3374	25	1.09873
26	0.3526	26	1.14837
27	0.3677	27	1.19781
28	0.3828	28	1.24903
29	0.3979	29	1.29887
30	0.4126	30	1.34845
31	0.4273	31	1.39882
32	0.4425	32	1.44911
33	0.4569	33	1.4989
34	0.4708	34	1.5486
35	0.4856	35	1.5993
36	0.4998	36	1.64892
37	0.5132	37	1.69875
38	0.5258	38	1.74833
39	0.534	39	1.79866
40	0.551	40	1.84926
41	0.5683	41	1.89842
42	0.5864	42	1.94893
43	0.6046	43	1.99956
44	0.6213	44	2.04895
45	0.6378	45	2.09906
46	0.6537	46	2.14817
47	0.6724	47	2.19896
48	0.6888	48	2.24878
49	0.7042	49	2.29868
50	0.7214	50	2.34893
51	0.7381	51	2.39897
52	0.7538	52	2.44849
53	0.77	53	2.49804
54	0.7607	54	2.44816
55	0.7495	55	2.39861
56	0.7399	56	2.34874
57	0.7283	57	2.29813
58	0.716	58	2.24877
59	0.7034	59	2.19822
60	0.6906	60	2.14804
61	0.6776	61	2.0983
62	0.6642	62	2.0484
63	0.6511	63	1.99916
64	0.6369	64	1.94833
65	0.6232	65	1.8981
66	0.6094	66	1.84872
67	0.5954	67	1.79867
68	0.5811	68	1.74772
69	0.5669	69	1.69877
70	0.553	70	1.6488
71	0.5404	71	1.59882
72	0.539	72	1.54844
73	0.5282	73	1.49828
74	0.5141	74	1.44897
75	0.5	75	1.39808
76	0.4847	76	1.3485
77	0.4691	77	1.2985
78	0.453	78	1.24872
79	0.4367	79	1.19748
80	0.4203	80	1.14813
81	0.4039	81	1.09797
82	0.3876	82	1.0491
83	0.3707	83	0.99827
84	0.3538	84	0.948183
85	0.337	85	0.898569
86	0.3195	86	0.84896
87	0.3015	87	0.797709
88	0.2841	88	0.74827
89	0.266	89	0.698699
90	0.2472	90	0.647298
91	0.2292	91	0.598351
92	0.2106	92	0.548307
93	0.192	93	0.498864
94	0.1728	94	0.448456
95	0.1531	95	0.398179
96	0.1335	96	0.34912
97	0.1129	97	0.298463
98	0.0915	98	0.248237
99	0.0703	99	0.198425
100	0.0484	100	0.148443
101	0.0267	101	0.099163
102	0.0043	102	0.048503
103	-0.017	103	0
104	-0.0167	104	2.93E-4
