"Experimento Condutividade Térmica","","","","","","","","","","","","","","","","","","","","","","",""
"Teflon","","","","","","Argamassa de Rejunte (de Revestimento)","","","","","","Fibra de Vidro","","","","","","Resina stycast 10% AlN","","","","",""
"1.5A","","2A","","2.5A","","1.5A","","2A","","2.5A","","1.5A","","2A","","2.5A","","1.0 A","","1.5 A","","2.0 A",""
"Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)"
"0","20.75","0","21.75","0","23.25","0","21.5","0","24.25","0","24.25","0","20.5","0","25.75","0","27.75","0.5","22.05","0.5","26.2","0.5","26.45"
"0.01","20.75","0.01","21.75","0.01","23.25","0.01","21.5","0.01","24","0.01","24.25","0.01","20.5","0.01","26","0.01","28","1","22.02","1","26.23","1","26.48"
"0.02","20.75","0.02","21.75","0.02","23.25","0.02","21.5","0.02","24.25","0.02","24.5","0.02","20.5","0.02","26","0.02","28","1.5","22.02","1.5","26.27","1.5","26.37"
"0.03","20.75","0.03","21.75","0.03","23.25","0.03","21.5","0.03","24.25","0.03","24.25","0.03","20.5","0.03","26","0.03","28","2","22.04","2","26.27","2","26.48"
"0.04","20.75","0.04","21.75","0.04","23.25","0.04","21.5","0.04","24","0.04","24.5","0.04","20.5","0.04","26","0.04","28","2.5","22.04","2.5","26.27","2.5","26.46"
"0.05","20.75","0.05","21.75","0.05","23.25","0.05","21.5","0.05","24","0.05","24.75","0.05","20.5","0.05","26","0.05","28","3","21.98","3","26.21","3","26.41"
"0.07","20.75","0.07","21.75","0.07","23.25","0.07","21.5","0.07","24.25","0.07","24.75","0.07","20.5","0.07","25.75","0.07","28","3.5","22.07","3.5","26.27","3.5","26.48"
"0.08","20.75","0.08","21.75","0.08","23.25","0.08","21.5","0.08","24","0.08","24.75","0.08","20.5","0.08","25.75","0.08","28","4","22.06","4","26.18","4","26.48"
"0.09","20.5","0.09","21.75","0.09","23.5","0.09","21.5","0.09","24.25","0.09","24.75","0.09","20.5","0.09","26","0.09","28","4.5","22.05","4.5","26.29","4.5","26.45"
"0.1","20.75","0.1","21.75","0.1","23.25","0.1","21.75","0.1","24.25","0.1","24.75","0.1","20.5","0.1","26","0.1","27.5","5","22.09","5","26.34","5","26.48"
"0.11","20.5","0.11","21.75","0.11","23.25","0.11","21.75","0.11","24.25","0.11","25","0.11","20.5","0.11","26","0.11","27.75","5.5","22.07","5.5","26.3","5.5","26.54"
