T (°C)	R (Ohm)
-199	189.6
-198	193.9
-197	198.2
-196	202.5
-195	206.8
-194	211.1
-193	215.4
-192	219.7
-191	224
-190	228.3
-189	232.6
-188	236.9
-187	241.2
-186	245.5
-185	249.7
-184	253.9
-183	258.2
-182	262.5
-181	266.7
-180	271
-179	275.2
-178	279.5
-177	283.7
-176	288
-175	292.2
-174	296.5
-173	300.7
-172	304.9
-171	309.2
-170	313.4
-169	317.6
-168	321.8
-167	326.1
-166	330.3
-165	334.5
-164	338.6
-163	342.8
-162	347
-161	351.2
-160	355.4
-159	359.6
-158	363.8
-157	368
-156	372.2
-155	376.3
-154	380.5
-153	384.7
-152	388.9
-151	393.1
-150	397.2
-149	401.4
-148	405.6
-147	409.7
-146	413.9
-145	418
-144	422.2
-143	426.4
-142	430.5
-141	434.6
-140	438.8
-139	442.9
-138	447.1
-137	451.2
-136	455.3
-135	459.5
-134	463.5
-133	467.6
-132	471.8
-131	475.9
-130	480
-129	484.1
-128	488.2
-127	492.3
-126	496.4
-125	500.6
-124	504.7
-123	508.8
-122	512.9
-121	517
-120	521.1
-119	525.2
-118	529.2
-117	533.3
-116	537.4
-115	541.5
-114	545.6
-113	549.7
-112	553.8
-111	557.8
-110	561.9
-109	566
-108	570
-107	574.1
-106	578.2
-105	582.2
-104	586.3
-103	590.4
-102	594.4
-101	598.5
-100	602.6
-99	606.7
-98	610.7
-97	614.8
-96	618.7
-95	622.9
-94	626.9
-93	631
-92	635
-91	639.1
-90	643
-89	647
-88	651.1
-87	655.1
-86	659.1
-85	663.1
-84	667.2
-83	671.2
-82	675.2
-81	679.2
-80	683.3
-79	687.3
-78	691.3
-77	695.3
-76	699.3
-75	703.3
-74	707.3
-73	711.3
-72	715.3
-71	719.3
-70	723.3
-69	727.3
-68	731.3
-67	735.3
-66	739.3
-65	743.3
-64	747.3
-63	751.3
-62	755.3
-61	759.3
-60	763.3
-59	767.3
-58	771.3
-57	775.2
-56	779.2
-55	783.2
-54	787.2
-53	791.1
-52	795.1
-51	799.1
-50	803.1
-49	807
-48	811
-47	815
-46	818.9
-45	822.9
-44	826.9
-43	830.8
-42	834.8
-41	838.8
-40	842.7
-39	846.7
-38	850.6
-37	854.6
-36	858.5
-35	862.5
-34	866.4
-33	870.4
-32	874.3
-31	878.3
-30	882.2
-29	886.2
-28	890.1
-27	894
-26	898
-25	901.9
-24	905.9
-23	909.8
-22	913.7
-21	917.7
-20	921.6
-19	925.5
-18	929.5
-17	933.4
-16	937.3
-15	941.2
-14	945.2
-13	949.1
-12	953
-11	956.9
-10	960.9
-9	964.8
-8	968.7
-7	972.6
-6	976.5
-5	980.4
-4	984.4
-3	988.3
-2	992.2
-1	996.1
0	1000
1	1003.9
2	1007.8
3	1011.7
4	1015.6
5	1019.5
6	1023.4
7	1027.3
8	1031.2
9	1035.1
10	1039
11	1042.9
12	1046.8
13	1050.7
14	1054.6
15	1058.5
16	1062.4
17	1066.3
18	1070.2
19	1074
20	1077.9
21	1081.8
22	1085.7
23	1089.6
24	1093.5
25	1097.3
26	1101.2
27	1105.1
28	1109
29	1112.8
30	1116.7
31	1120.6
32	1124.5
33	1128.3
34	1132.2
35	1136.1
36	1139.9
37	1143.8
38	1147.7
39	1151.5
40	1155.4
41	1159.3
42	1163.1
43	1167
44	1170.8
45	1174.7
46	1178.5
47	1182.4
48	1186.2
49	1190.1
50	1194
51	1197.8
52	1201.6
53	1205.5
54	1209.3
55	1213.2
56	1217
57	1220.9
58	1224.7
59	1228.6
60	1232.4
61	1236.2
62	1240.1
63	1243.9
64	1247.7
65	1251.7
66	1255.5
67	1259.3
68	1263.2
69	1267
70	1270.8
71	1274.6
72	1278.5
73	1282.3
74	1286.1
75	1289.9
76	1293.8
77	1297.6
78	1301.4
79	1305.2
80	1309
81	1312.8
82	1316.7
83	1320.5
84	1324.3
85	1328.1
86	1331.9
87	1335.7
88	1339.5
89	1343.3
90	1347.1
91	1350.9
92	1354.7
93	1358.5
94	1362.3
95	1366.1
96	1369.9
97	1373.7
98	1377.5
99	1381.3
100	1385.1
101	1388.9
102	1392.7
103	1396.5
104	1400.3
105	1403.9
106	1407.7
107	1411.5
108	1415.3
109	1419.1
110	1422.9
111	1426.6
112	1430.4
113	1434.2
114	1438
115	1441.8
116	1445.6
117	1449.4
118	1453.2
