resistência termistor	deformação
Ohm	
Teflon	Teflon
230.853367	2.99999999999953E-6
232.937658	1.57000000000001E-4
236.469433	2.72E-4
240.127207	3.55000000000001E-4
243.402039	4.21000000000001E-4
246.147155	4.75E-4
248.503263	5.23000000000001E-4
250.547718	5.6E-4
252.229094	5.98E-4
253.724682	6.27000000000001E-4
255.082329	6.56E-4
256.199429	6.8E-4
257.280718	7.03000000000001E-4
258.29853	7.28000000000001E-4
259.247234	7.45000000000001E-4
260.295965	7.63E-4
261.455418	7.81E-4
263.390108	7.97000000000001E-4
264.576706	8.1E-4
265.479686	8.27E-4
266.312082	8.39000000000001E-4
267.175065	8.51000000000001E-4
268.086518	8.62E-4
268.937904	8.74E-4
269.800354	8.87000000000001E-4
270.677521	9.02E-4
271.731771	9.11E-4
272.828879	9.26E-4
274.054841	9.41000000000001E-4
275.284293	9.55000000000001E-4
276.516154	9.69000000000001E-4
277.965148	9.79000000000001E-4
279.288286	9.9E-4
280.599008	9.99E-4
281.821732	0.001007
282.975651	0.001018
284.132212	0.001023
285.188886	0.001037
286.371527	0.001048
287.702936	0.001056
289.129873	0.001066
290.447796	0.001078
291.938441	0.001091
293.46223	0.001104
294.847368	0.001115
296.338533	0.001126
297.936532	0.001138
299.312359	0.001152
300.889038	0.001163
302.328507	0.00117
303.727632	0.001181
305.154842	0.001189
306.480544	0.001198
307.619935	0.001211
308.860308	0.00122
309.928786	0.001228
310.926977	0.001239
311.983554	0.001246
313.045136	0.001257
314.159933	0.001264
315.447439	0.001274
316.376571	0.001286
317.48913	0.001298
318.947045	0.001307
320.3066	0.001315
321.109752	0.001324
321.498445	0.001334
322.325758	0.001353
323.642131	0.001362
325.000906	0.001378
326.140616	0.001387
327.576014	0.001403
329.438027	0.001421
331.035629	0.001425
332.565583	0.001439
334.369971	0.00145
335.949617	0.001464
337.447491	0.001474
339.022464	0.001484
340.440895	0.001495
342.325556	0.001506
344.255046	0.001518
347.222363	0.001528
350.185167	0.001552
353.550466	0.001568
357.554628	0.001591
361.0189	0.001591
364.270597	0.001597
366.611208	0.00161
369.40083	0.001624
372.559439	0.00165
375.372165	0.001667
378.910362	0.001705
381.61884	0.001713
383.905164	0.001724
386.253018	0.001732
388.21315	0.00174
389.58983	0.001748
390.935931	0.001757
391.903482	0.001774
392.9592	0.001771
393.722928	0.001784
394.541585	0.001795
395.465061	0.001806
396.408342	0.001814
397.397805	0.001822
398.272567	0.001832
399.515929	0.001847
400.76005	0.001852
401.820149	0.001861
402.956114	0.001886
404.392188	0.001898
406.035943	0.001909
407.641278	0.001928
409.626674	0.001944
411.51456	0.001962
413.178377	0.001979
415.080187	0.001998
417.068376	0.002011
418.623678	0.002031
420.09067	0.002051
421.810437	0.002066
423.524816	0.002084
425.062833	0.002101
426.531014	0.00212
428.130632	0.002139
429.620667	0.002157
431.195431	0.002182
432.878896	0.00221
434.531914	0.002231
436.064021	0.002253
437.746339	0.002279
439.384408	0.002305
