resistência termistor	deformação
Ohm	
	Titânio
198.95465	3.00000000000127E-6
199.027378	4.00000000000053E-6
199.10416	4.00000000000053E-6
199.193885	4.00000000000053E-6
199.282002	4.00000000000053E-6
199.370722	5.00000000000153E-6
199.473426	6.0000000000008E-6
199.595252	6.0000000000008E-6
199.727418	6.0000000000008E-6
199.886422	7.00000000000006E-6
200.055025	9.00000000000033E-6
200.254081	9.00000000000033E-6
200.467513	1.00000000000013E-5
200.712195	1.20000000000016E-5
200.976835	1.30000000000009E-5
201.276525	1.40000000000001E-5
201.587046	1.50000000000011E-5
201.914019	1.60000000000004E-5
202.266661	1.70000000000014E-5
202.602143	1.90000000000017E-5
202.950054	2.10000000000002E-5
203.265565	2.20000000000012E-5
203.56324	2.40000000000015E-5
203.842476	2.50000000000007E-5
204.082224	2.6E-5
204.313066	2.80000000000002E-5
204.522727	2.90000000000012E-5
204.739774	3.00000000000005E-5
204.954106	3.10000000000015E-5
205.147249	3.20000000000008E-5
205.332871	3.4000000000001E-5
205.503444	3.50000000000003E-5
205.670828	3.50000000000003E-5
205.814775	3.60000000000013E-5
205.952258	3.80000000000016E-5
206.089362	3.90000000000008E-5
206.215875	4.00000000000001E-5
206.326358	4.10000000000011E-5
206.444533	4.30000000000014E-5
206.545131	4.40000000000006E-5
206.674187	4.60000000000009E-5
206.782462	4.80000000000012E-5
206.951244	5.00000000000014E-5
207.146446	5.2E-5
207.359439	5.40000000000002E-5
207.577364	5.60000000000005E-5
207.764034	5.70000000000015E-5
207.896676	5.9E-5
208.006185	6.0000000000001E-5
208.072918	6.10000000000003E-5
208.144486	6.20000000000013E-5
208.305795	6.30000000000006E-5
208.432544	6.40000000000016E-5
208.60567	6.50000000000008E-5
208.794311	6.60000000000001E-5
208.977739	6.80000000000004E-5
209.135535	6.90000000000014E-5
209.27008	7.20000000000009E-5
209.402134	7.20000000000009E-5
209.481162	7.30000000000001E-5
209.607349	7.50000000000004E-5
209.731875	7.60000000000014E-5
209.84432	7.70000000000007E-5
210.044205	7.80000000000017E-5
210.273637	8.00000000000002E-5
210.480057	8.10000000000012E-5
210.729638	8.30000000000015E-5
210.907993	8.40000000000007E-5
211.097988	8.6000000000001E-5
211.254282	8.80000000000013E-5
211.422566	8.90000000000005E-5
211.601747	9.10000000000008E-5
211.806847	9.30000000000011E-5
211.983544	9.50000000000013E-5
212.19624	9.70000000000016E-5
212.422481	9.90000000000001E-5
212.627932	1.02000000000001E-4
212.89892	1.04000000000002E-4
213.221884	1.07000000000001E-4
213.571037	1.11E-4
213.962811	1.17000000000001E-4
214.458463	1.23000000000002E-4
214.990049	1.29000000000001E-4
215.525635	1.35000000000001E-4
216.141001	1.40000000000001E-4
216.746274	1.47000000000001E-4
217.395498	1.55000000000001E-4
218.107239	1.63000000000002E-4
218.817023	1.73000000000001E-4
219.551152	1.86E-4
220.384042	2.04000000000001E-4
221.435376	2.23000000000001E-4
222.373539	2.40000000000001E-4
223.409849	2.59000000000001E-4
224.244232	2.76E-4
225.114222	2.96000000000001E-4
226.012016	3.18000000000001E-4
226.774915	3.61E-4
227.512406	4.06E-4
228.142522	4.45000000000001E-4
228.770639	4.69000000000001E-4
229.411998	4.89000000000002E-4
230.042738	5.01000000000001E-4
230.752241	5.22000000000002E-4
231.376898	5.56000000000001E-4
232.010532	5.87000000000001E-4
232.751243	6.03000000000001E-4
233.437325	6.31000000000001E-4
234.148514	6.67000000000001E-4
235.056423	6.93000000000001E-4
235.989717	7.13E-4
236.822726	7.37000000000002E-4
237.672805	7.62000000000001E-4
238.531065	7.90000000000001E-4
239.40543	8.21000000000001E-4
240.457159	8.41000000000001E-4
241.254679	8.60000000000001E-4
242.206858	8.79000000000001E-4
243.21239	9.00000000000001E-4
244.543846	9.20000000000001E-4
245.8866	9.45000000000001E-4
247.032659	9.65000000000001E-4
248.134801	9.87E-4
249.10436	0.001006
249.969023	0.001027
250.75101	0.001048
251.770732	0.001076
252.84293	0.001115
253.89326	0.001147
254.85465	0.001175
255.903387	0.001198
257.002685	0.001219
258.215407	0.00124
262.322915	0.00127
264.273041	0.001302
266.955206	0.001328
269.05409	0.001353
270.171598	0.001374
271.188757	0.001392
272.295591	0.001423
274.475112	0.001451
276.058623	0.00148
277.734357	0.001501
278.731997	0.001535
279.233538	0.001556
279.800454	0.001579
280.29214	0.0016
280.854074	0.001619
281.198481	0.001641
281.550839	0.00166
281.791013	0.001681
282.255722	0.001696
282.69071	0.00172
283.162864	0.00174
283.584319	0.001762
284.128064	0.00178
284.653255	0.001798
285.158687	0.001817
285.752021	0.001837
286.616052	0.001862
287.801954	0.001885
288.908827	0.001903
289.786262	0.001925
290.897546	0.00195
291.809106	0.001972
292.762163	0.001995
293.640453	0.002018
294.542291	0.002038
295.099045	0.002062
296.014733	0.002087
297.297492	0.002105
298.402432	0.002143
299.900074	0.002165
301.425333	0.002196
302.961629	0.002227
304.195238	0.002252
306.106177	0.002291
307.870471	0.002324
308.841229	0.002357
310.770846	0.002391
312.057689	0.002432
313.920439	0.002465
315.965084	0.002512
317.923546	0.002547
319.681583	0.002581
321.018796	0.002623
322.41822	0.002665
323.630635	0.002708
325.346521	0.002752
327.092044	0.002794
329.032266	0.002844
330.732152	0.002889
332.563689	0.002943
334.428847	0.002985
336.260989	0.003062
338.898919	0.003087
340.665203	0.003145
343.431706	0.003193
345.703733	0.003239
347.73852	0.00329
350.028145	0.00334
352.465005	0.003393
354.907951	0.003444
356.988314	0.003497
359.274518	0.003549
361.660503	0.003605
364.124355	0.003656
366.558038	0.003709
368.739055	0.003762
370.681298	0.003815
373.192846	0.003868
375.781374	0.003924
378.802879	0.003984
381.105314	0.004033
383.765113	0.004088
386.536117	0.00414
388.939366	0.004197
391.905833	0.004251
394.224838	0.004304
396.895677	0.004356
399.427825	0.004408
401.659993	0.004463
403.881697	0.004513
405.992432	0.004557
407.955904	0.004615
410.479871	0.004663
412.821355	0.004712
414.956041	0.00476
417.119662	0.004813
419.240573	0.00486
421.512223	0.004917
423.757959	0.004963
426.451415	0.005015
429.484496	0.005065
432.154205	0.005109
433.978521	0.005158
436.150989	0.005205
437.664251	0.005254
440.280599	0.005311
443.460425	0.005356
446.141432	0.005408
449.271652	0.005469
453.967105	0.005522
457.66581	0.005584
461.972964	0.005625
466.143419	0.005684
468.85234	0.005711
470.493073	0.005765
472.822428	0.005808
473.948446	0.005847
474.692347	0.005889
475.21563	0.005932
476.550161	0.005975
477.68747	0.006013
478.753717	0.006049
479.50095	0.00609
480.711448	0.006128
482.265161	0.006166
483.585087	0.006202
484.816996	0.006238
486.012849	0.006274
487.250198	0.006309
488.719635	0.006347
490.210984	0.00638
491.876485	0.006416
493.631807	0.00645
495.243049	0.006487
496.666056	0.00652
498.09026	0.006555
500.163651	0.006592
501.690279	0.006625
503.792714	0.006662
505.692934	0.006689
507.404906	0.006722
509.119749	0.006756
510.807376	0.006787
512.468003	0.006817
514.071857	0.006849
515.789162	0.006879
517.43469	0.00691
519.057444	0.006942
520.771245	0.006969
522.200277	0.007
523.879574	0.00703
525.601446	0.007059
527.290253	0.007089
529.024569	0.007117
530.726453	0.007146
532.295807	0.007172
533.770999	0.0072
535.489754	0.00723
537.337409	0.007257
539.138629	0.007286
541.307306	0.007314
543.070689	0.007344
545.015128	0.007373
546.963277	0.007398
548.474455	0.007424
550.340036	0.00746
552.849135	0.007486
554.835926	0.00751
556.037774	0.007537
557.845458	0.007567
559.806573	0.007597
561.939341	0.00762
563.810378	0.007644
565.163402	0.007669
566.447269	0.007693
567.74877	0.007717
569.06825	0.007741
570.593786	0.007766
572.073382	0.007792
573.690809	0.007814
575.349691	0.00784
577.264283	0.007865
578.988894	0.007888
580.516499	0.00791
582.228303	0.007937
584.2019	0.00796
586.520365	0.007986
590.109302	0.008012
591.659138	0.008033
593.369372	0.008062
595.467424	0.008079
596.934249	0.008101
598.413526	0.008128
600.0926	0.008152
602.243646	0.008175
604.345944	0.008203
606.302023	0.008228
607.585497	0.008245
608.699026	0.008264
609.69418	0.008285
611.233019	0.008315
614.590891	0.00834
618.121986	0.008368
620.486204	0.008381
622.391506	0.00841
625.397236	0.008437
626.886346	0.008447
627.635348	0.008468
628.708035	0.008491
629.929659	0.00851
631.259505	0.008529
632.50575	0.00855
633.943133	0.008567
635.030666	0.008585
636.586485	0.008605
638.18453	0.008636
640.100561	0.008677
643.399093	0.008691
645.748044	0.008698
647.652499	0.008739
650.757934	0.008761
651.953825	0.008764
652.50291	0.008776
652.774826	0.008791
653.313914	0.008812
654.547222	0.008827
656.017706	0.008843
656.971073	0.008859
658.140002	0.008878
659.865957	0.008901
661.78566	0.008921
663.589908	0.00893
664.887803	0.008945
666.18209	0.00896
667.326539	0.008975
668.475867	0.008989
669.688842	0.009006
671.329604	0.009021
672.426823	0.009037
673.802491	0.009051
675.272574	0.009066
676.393803	0.00908
677.522068	0.009095
679.057539	0.00911
680.253288	0.009122
681.3433	0.009136
682.557136	0.00915
683.906106	0.009163
685.231662	0.009179
686.772934	0.009191
687.758203	0.009204
688.9116	0.009217
690.169228	0.009238
692.895768	0.009254
694.301483	0.009264
695.805114	0.009277
697.763662	0.009291
699.254378	0.009303
700.460718	0.009315
701.49123	0.009328
702.572531	0.009341
703.75771	0.009353
705.07979	0.009367
706.492645	0.009381
708.095956	0.009396
709.77129	0.009407
711.112086	0.00942
712.830916	0.009433
714.216362	0.009444
715.634558	0.009457
716.921509	0.00947
718.336669	0.009481
719.59817	0.009491
720.746317	0.009504
721.880599	0.009514
723.02396	0.009526
724.239537	0.009537
725.535906	0.009548
726.725198	0.00956
727.951902	0.009571
729.182869	0.009581
730.375917	0.009592
731.414858	0.009603
732.284369	0.009615
733.717547	0.009633
736.005781	0.009645
738.351986	0.009664
741.318829	0.009679
743.422275	0.009684
745.070131	0.009697
746.887246	0.009712
748.367146	0.009717
749.233868	0.009734
751.207792	0.009746
752.738219	0.00976
754.704261	0.009768
756.093435	0.009785
758.227823	0.009792
760.356484	0.009807
762.389955	0.009821
764.463506	0.009833
766.175254	0.00984
767.327267	0.009848
768.149466	0.009859
768.900273	0.009868
769.766586	0.009877
770.49683	0.009886
771.275688	0.009895
772.207492	0.009903
772.979164	0.009913
773.917819	0.009923
775.566992	0.009935
776.998642	0.009943
778.093992	0.009952
779.468109	0.009963
780.820893	0.00997
781.929755	0.009978
783.028905	0.009987
784.082381	0.009998
785.742085	0.010009
787.25418	0.010022
788.938258	0.010028
790.133824	0.010038
791.687567	0.010049
793.395707	0.010058
794.828886	0.010072
796.724001	0.01008
798.298873	0.01009
799.471206	0.010094
800.074111	0.010103
800.994438	0.010116
802.458023	0.010123
803.962831	0.010128
804.862592	0.010136
805.785143	0.010144
806.795112	0.01015
807.796791	0.01016
808.81393	0.010166
809.644147	0.010172
810.44174	0.01018
811.244929	0.010186
812.04903	0.010193
812.788886	0.010198
813.462567	0.010205
814.193487	0.010211
814.819063	0.010217
815.493522	0.010223
816.202918	0.01023
817.061421	0.010235
817.857776	0.010242
818.696062	0.010248
819.617117	0.010254
820.710921	0.010263
822.325425	0.01027
824.056033	0.010278
825.750212	0.010287
827.325802	0.010295
829.009167	0.010301
830.489863	0.010311
832.119369	0.010319
833.548876	0.010324
834.892616	0.010333
836.31084	0.010337
837.118877	0.010342
837.783131	0.010348
838.583179	0.010354
839.529494	0.01036
840.561153	0.010366
841.68766	0.010373
843.031809	0.010381
844.286941	0.010386
845.340549	0.01039
846.214067	0.010395
847.055753	0.0104
847.782285	0.010406
848.592591	0.010412
849.33408	0.010417
850.059593	0.010423
850.990801	0.010429
851.920733	0.010435
853.035474	0.01044
854.216595	0.010446
855.504567	0.010454
856.965973	0.010457
857.972819	0.010464
859.295363	0.010473
860.873749	0.010479
862.078164	0.010484
863.104838	0.01049
864.233904	0.010497
864.939585	0.010503
865.891137	0.010508
866.881447	0.010513
867.88438	0.010519
868.693007	0.010523
869.287582	0.010528
870.087171	0.010534
871.245677	0.01054
872.014999	0.010545
872.956115	0.010549
873.637305	0.010553
874.251204	0.01056
875.488105	0.010565
876.593045	0.010572
877.855764	0.010577
878.903838	0.010581
880.023622	0.010587
881.274477	0.010592
882.479217	0.010599
883.876823	0.010603
885.024356	0.01061
886.954131	0.010618
888.599474	0.010622
889.722604	0.010627
890.857843	0.010633
892.196718	0.010637
892.841811	0.010643
893.624311	0.010649
894.803859	0.010652
895.751228	0.010658
896.370765	0.010661
896.89408	0.010666
897.522654	0.01067
898.096217	0.010677
899.469233	0.010681
900.308561	0.010684
900.834248	0.010689
901.56972	0.010693
902.386898	0.010696
903.223742	0.010699
903.845689	0.010703
904.516719	0.010708
905.313709	0.010713
906.133859	0.010716
906.812305	0.010719
907.30439	0.010724
908.011412	0.010729
909.029161	0.010734
910.103291	0.010738
911.08124	0.010742
911.908436	0.010747
912.788863	0.010751
913.637996	0.010755
914.458477	0.010759
915.39583	0.010764
916.487573	0.010767
917.391544	0.010771
918.013319	0.010775
918.628133	0.010778
919.277614	0.010782
920.060473	0.010785
920.8517	0.010789
921.788956	0.010794
922.796042	0.010798
923.631473	0.010802
924.64441	0.010806
925.435614	0.010809
926.089722	0.010812
926.407605	0.010814
926.669257	0.010817
927.081357	0.01082
927.55653	0.010823
927.998135	0.010825
928.440365	0.010828
928.885065	0.010831
929.309979	0.010833
929.747701	0.010837
930.500123	0.01084
931.356816	0.010844
932.343355	0.010847
933.141089	0.010851
934.118338	0.010854
935.029531	0.010858
935.997928	0.010863
937.073254	0.010866
937.886969	0.010869
938.765517	0.010872
939.652283	0.010876
940.608769	0.010879
941.384397	0.010882
941.878544	0.010885
942.554162	0.010887
943.143275	0.010891
943.735059	0.010894
944.757378	0.010898
945.858455	0.010901
946.886253	0.010904
947.74363	0.010908
948.495933	0.010911
949.150554	0.010914
949.806662	0.010917
950.455817	0.01092
950.813136	0.010922
951.073896	0.010924
951.365396	0.010927
951.599728	0.010929
952.191848	0.010932
952.791458	0.010934
953.432862	0.010936
953.778875	0.010939
954.081699	0.010941
954.490607	0.010944
955.27974	0.010946
955.980312	0.010948
956.674362	0.01095
957.336169	0.010952
958.16698	0.010955
959.167315	0.010957
959.973551	0.01096
960.611392	0.010962
961.258322	0.010964
961.864538	0.010967
962.529454	0.01097
962.956808	0.010973
963.631618	0.010976
964.153851	0.010978
964.620873	0.01098
965.092609	0.010982
965.655589	0.010985
966.446049	0.010988
967.202778	0.01099
967.764291	0.010993
968.432	0.010995
969.117248	0.010998
969.820178	0.011
970.339568	0.011002
970.61896	0.011004
971.19639	0.011007
971.697492	0.011009
972.272527	0.011012
972.695449	0.011013
973.086273	0.011015
973.593955	0.011017
974.106029	0.011019
974.521609	0.011021
975.24922	0.011024
976.257167	0.011027
977.064587	0.011029
977.696553	0.011032
978.272912	0.011034
978.838743	0.011036
979.26412	0.011038
979.551514	0.01104
979.803192	0.011042
979.940512	0.011043
980.054846	0.011045
980.264225	0.011047
980.488823	0.011048
980.731695	0.01105
981.060384	0.011052
981.71765	0.011055
982.41173	0.011056
982.945117	0.011058
983.160707	0.011059
983.359612	0.011061
983.583376	0.011062
983.807248	0.011064
984.055586	0.011066
984.381033	0.011067
984.705745	0.011069
984.950944	0.011071
985.200841	0.011073
985.491636	0.011074
985.950969	0.011076
986.603932	0.011078
987.056911	0.01108
987.328106	0.011082
987.632137	0.011083
988.088853	0.011086
988.796224	0.011089
989.311912	0.011091
989.802408	0.011094
990.373156	0.011096
990.87184	0.011097
991.267918	0.011099
991.643244	0.011101
991.993362	0.011102
992.333848	0.011103
992.658209	0.011105
992.994778	0.011106
993.345284	0.011107
993.652507	0.011108
993.949794	0.01111
994.31586	0.011112
994.751411	0.011115
995.156973	0.011116
995.532879	0.011119
995.970097	0.01112
996.331131	0.011122
996.644409	0.011124
996.960965	0.011126
997.377371	0.011127
997.813584	0.011129
998.11224	0.01113
998.34631	0.011131
998.576491	0.011133
998.805974	0.011134
999.00948	0.011135
999.168949	0.011136
999.302639	0.011137
999.423684	0.011138
999.537688	0.011139
999.63909	0.01114
999.731163	0.011142
999.819324	0.011143
999.898762	0.011144
999.970664	0.011144
1000.03146	0.011145
1000.08753	0.011146
1000.13703	0.011146
1000.18573	0.011147
1000.22911	0.011147
1000.26815	0.011148
1000.30517	0.011148
1000.33871	0.011148
1000.36706	0.011148
1000.39149	0.011148
1000.41327	0.011148
1000.43497	0.011148
1000.46078	0.011148
1000.48347	0.011148
1000.50848	0.011148
1000.52909	0.011149
1000.54963	0.011149
1000.5729	0.011149
1000.59952	0.011149
1000.64286	0.01115
1000.70069	0.01115
1000.78575	0.01115
1000.90986	0.01115
1001.094	0.011151
1001.3512	0.011151
1001.78873	0.011151
1002.20433	0.011152
1002.61334	0.011152
1003.05835	0.011152
1003.50304	0.011152
1003.9642	0.011153
1004.7277	0.011154
1005.26841	0.011155
1005.78851	0.011155
1006.14567	0.011156
1006.50728	0.011157
1006.92431	0.011158
1007.40687	0.011159
1007.76151	0.01116
1008.14859	0.011161
1008.48023	0.011161
1008.80199	0.011162
1008.95967	0.011162
1009.05864	0.011163
1009.18889	0.011164
1009.34227	0.011164
1009.41557	0.011164
1009.64189	0.011165
1009.7456	0.011166
1009.76797	0.011166
1009.82779	0.011166
1009.89254	0.011167
1009.94156	0.011167
1010.0949	0.011167
1010.26774	0.011168
1010.43316	0.011169
1010.58068	0.011169
1010.81019	0.01117
1011.11048	0.011171
1011.61358	0.011171
1011.86857	0.011172
1012.02467	0.011172
1012.09367	0.011173
1012.21035	0.011174
1012.37051	0.011174
1012.48138	0.011175
1012.57128	0.011175
1012.69578	0.011176
1012.8297	0.011176
1012.93374	0.011177
1013.12363	0.011177
1013.34749	0.011178
1013.49936	0.011178
1013.63439	0.011179
1013.76913	0.01118
1013.94461	0.01118
1014.10017	0.011181
1014.22746	0.011182
1014.29752	0.011182
1014.45399	0.011183
1014.65084	0.011183
1014.75713	0.011184
1014.88617	0.011184
1015.11489	0.011185
1015.43695	0.011186
1015.60448	0.011186
1015.66431	0.011187
1015.81196	0.011187
1015.97848	0.011188
1016.14054	0.011189
1016.32995	0.01119
1016.64649	0.01119
1016.85077	0.01119
1017.01985	0.011191
1017.19433	0.011191
1017.41006	0.011192
1017.70647	0.011193
1017.91445	0.011194
1018.14132	0.011194
1018.55307	0.011195
1018.80592	0.011196
1019.00962	0.011196
1019.16342	0.011197
1019.27874	0.011198
1019.5997	0.011199
1019.95851	0.0112
1020.463	0.011201
1020.89283	0.011201
1021.02234	0.011202
1021.23971	0.011203
1021.41158	0.011203
1021.62047	0.011204
1021.99783	0.011205
1022.43571	0.011206
1022.74086	0.011207
1022.87618	0.011208
1022.9027	0.011208
1022.96105	0.011209
1023.28631	0.01121
1023.47845	0.011211
1023.66801	0.011212
1023.93481	0.011212
1024.16741	0.011212
1024.2635	0.011213
1024.38705	0.011214
1024.62655	0.011214
1025.01265	0.011215
1025.38285	0.011216
1025.70226	0.011217
1026.00783	0.011218
1026.37965	0.011218
1026.55094	0.011219
1026.78154	0.01122
1026.9564	0.011221
1027.11721	0.011222
1027.20306	0.011222
1027.29714	0.011223
1027.40973	0.011223
1027.53687	0.011224
1027.74759	0.011225
1028.10466	0.011226
1028.2624	0.011227
1028.47804	0.011228
1028.70314	0.011228
1028.89598	0.011229
1029.02603	0.011229
1029.04288	0.011229
1029.07184	0.01123
1029.11635	0.01123
1029.16195	0.011231
1029.19567	0.011231
1029.3807	0.011232
1029.62161	0.011232
1029.75444	0.011233
1029.84046	0.011233
1029.93634	0.011234
1030.02688	0.011234
1030.09731	0.011235
1030.16355	0.011235
1030.33362	0.011236
1030.54325	0.011236
1030.63463	0.011236
1030.74087	0.011237
1030.9408	0.011237
1031.04608	0.011238
1031.08513	0.011238
1031.23991	0.011239
1031.48113	0.011239
1031.56671	0.01124
1031.63533	0.01124
1031.70944	0.011241
1031.7701	0.011241
1031.879	0.011241
1032.01624	0.011242
1032.13431	0.011242
1032.31218	0.011242
1032.49539	0.011243
1032.71782	0.011244
1032.89055	0.011244
1032.98126	0.011244
1033.07018	0.011244
1033.17521	0.011245
1033.24419	0.011245
1033.40405	0.011246
1033.63269	0.011246
1033.8032	0.011247
1034.32014	0.011248
1034.7477	0.011249
1035.01871	0.011249
1035.22299	0.01125
1035.42978	0.011251
1035.54555	0.011251
1035.64969	0.011251
1035.91532	0.011252
1036.1389	0.011252
1036.48292	0.011253
1036.80952	0.011254
1036.96681	0.011254
1036.99306	0.011255
1037.01128	0.011255
1037.23499	0.011256
1037.47183	0.011256
1037.5819	0.011257
1037.61777	0.011257
1037.68284	0.011257
1037.83536	0.011258
